,,,"Saskatchewan [Province]",,,,,,"Canada [Country]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","              Urdu",,    6520,,    3380,,    3135,,  210815,,  106960,,  103860,
"Mother tongue","            Iranian languages",,    2065,,    1130,,     940,,  242805,,  122835,,  119970,
"Mother tongue","              Kurdish",,     145,,      80,,      65,,   11705,,    6345,,    5355,
"Mother tongue","              Pashto",,     555,,     315,,     235,,   16910,,    8760,,    8145,
"Mother tongue","              Persian (Farsi)",,    1370,,     735,,     635,,  214200,,  107725,,  106470,
"Mother tongue","            Indo-Iranian languages; n.i.e.",,     275,,     155,,     120,,    5180,,    2755,,    2425,
"Mother tongue","          Italic (Romance) languages",,    6470,,    3225,,    3250,, 1154270,,  558660,,  595615,
"Mother tongue","            Catalan",,       5,,       0,,       0,,     865,,     440,,     425,
"Mother tongue","            Italian",,     705,,     365,,     340,,  375635,,  184415,,  191220,
"Mother tongue","            Portuguese",,     615,,     265,,     350,,  221540,,  106630,,  114910,
"Mother tongue","            Romanian",,     850,,     425,,     430,,   96665,,   46195,,   50470,
"Mother tongue","            Spanish",,    4290,,    2165,,    2125,,  458850,,  220605,,  238245,
"Mother tongue","            Italic (Romance) languages; n.i.e.",,      10,,       5,,       5,,     720,,     380,,     340,
"Mother tongue","        Japanese",,     320,,     100,,     220,,   43640,,   14790,,   28855,
"Mother tongue","        Kartvelian languages",,       5,,       5,,       5,,    1715,,     910,,     805,
"Mother tongue","          Georgian",,       5,,       0,,       5,,    1715,,     910,,     805,
"Mother tongue","        Korean",,    1670,,     800,,     865,,  153425,,   70310,,   83115,
"Mother tongue","        Mongolic languages",,      40,,      20,,      25,,    1575,,     690,,     885,
"Mother tongue","          Mongolian",,      40,,      20,,      25,,    1575,,     690,,     880,
"Mother tongue","        Niger-Congo languages",,    2310,,    1235,,    1075,,   91375,,   45075,,   46305,
"Mother tongue","          Akan (Twi)",,     190,,     115,,      75,,   13455,,    6490,,    6970,
"Mother tongue","          Bamanankan",,       0,,       0,,       5,,    1535,,     815,,     720,
"Mother tongue","          Edo",,      35,,      20,,      15,,    1670,,     770,,     900,
"Mother tongue","          Ewe",,      50,,      30,,      20,,    1760,,     950,,     805,
"Mother tongue","          Fulah (Pular; Pulaar; Fulfulde)",,      25,,      15,,       5,,    2825,,    1495,,    1335,
"Mother tongue","          Ga",,      20,,      15,,       5,,     920,,     445,,     470,
"Mother tongue","          Ganda",,      35,,      15,,      20,,    1295,,     625,,     665,
"Mother tongue","          Igbo",,     215,,     125,,      90,,    4235,,    2265,,    1970,
"Mother tongue","          Lingala",,      30,,      20,,      15,,    3810,,    1785,,    2025,
"Mother tongue","          Rundi (Kirundi)",,     145,,      85,,      65,,    5845,,    2785,,    3060,
"Mother tongue","          Kinyarwanda (Rwanda)",,     115,,      55,,      60,,    5250,,    2355,,    2895,
"Mother tongue","          Shona",,      90,,      55,,      40,,    3180,,    1520,,    1665,
"Mother tongue","          Swahili",,     425,,     220,,     205,,   13370,,    6385,,    6990,
"Mother tongue","          Wolof",,      20,,      10,,      10,,    3990,,    2170,,    1820,
"Mother tongue","          Yoruba",,     465,,     240,,     220,,    9085,,    4785,,    4300,
"Mother tongue","          Niger-Congo languages; n.i.e.",,     430,,     220,,     215,,   19135,,    9435,,    9695,
"Mother tongue","        Nilo-Saharan languages",,     335,,     195,,     140,,    5870,,    3025,,    2845,
"Mother tongue","          Dinka",,     115,,      70,,      45,,    2120,,    1115,,    1000,
"Mother tongue","          Nilo-Saharan languages; n.i.e.",,     220,,     120,,     100,,    3755,,    1910,,    1840,
"Mother tongue","        Sign languages",,     200,,     100,,     100,,    7500,,    3925,,    3575,
"Mother tongue","          American Sign Language",,      65,,      35,,      35,,    2685,,    1320,,    1360,
"Mother tongue","          Quebec Sign Language",,       0,,       0,,       0,,     695,,     340,,     355,
"Mother tongue","          Sign languages; n.i.e",,     135,,      70,,      65,,    4120,,    2265,,    1860,
"Mother tongue","        Sino-Tibetan languages",,   13500,,    6700,,    6795,, 1269215,,  589570,,  679645,
"Mother tongue","          Chinese languages",,   12460,,    6165,,    6290,, 1253360,,  581650,,  671715,
"Mother tongue","            Cantonese",,    3775,,    1830,,    1950,,  565270,,  262865,,  302405,
"Mother tongue","            Hakka",,      35,,      20,,      15,,   10910,,    4900,,    6015,
"Mother tongue","            Mandarin",,    7230,,    3600,,    3630,,  592040,,  274630,,  317410,
"Mother tongue","            Min Dong",,       5,,       0,,       0,,    1230,,     580,,     650,
"Mother tongue","            Min Nan (Chaochow; Teochow; Fukien; Taiwanese)",,     210,,     110,,     100,,   31795,,   14450,,   17350,
"Mother tongue","            Wu (Shanghainese)",,      60,,      35,,      25,,   12915,,    5780,,    7140,
"Mother tongue","            Chinese; n.o.s.",,    1135,,     570,,     565,,   38580,,   18165,,   20410,
"Mother tongue","            Chinese languages; n.i.e.",,       5,,       0,,       0,,     610,,     275,,     335,
"Mother tongue","          Tibeto-Burman languages",,    1040,,     530,,     505,,   15850,,    7925,,    7935,
"Mother tongue","            Burmese",,     180,,     115,,      65,,    3585,,    1795,,    1790,
"Mother tongue","            Karenic languages",,     810,,     395,,     415,,    4705,,    2355,,    2350,
"Mother tongue","            Tibetan",,      15,,       5,,      10,,    6165,,    3080,,    3080,
"Mother tongue","            Tibeto-Burman languages; n.i.e.",,      35,,      20,,      20,,    1400,,     695,,     705,
"Mother tongue","        Tai-Kadai languages",,     525,,     235,,     290,,   22010,,    8870,,   13145,
"Mother tongue","          Lao",,     345,,     175,,     170,,   12670,,    6145,,    6525,
"Mother tongue","          Thai",,     180,,      55,,     125,,    9255,,    2690,,    6565,
"Mother tongue","          Tai-Kadai languages; n.i.e",,       0,,       0,,       0,,      80,,      35,,      55,
"Mother tongue","        Turkic languages",,     360,,     185,,     175,,   40140,,   21120,,   19025,
"Mother tongue","          Azerbaijani",,      25,,      10,,      10,,    3260,,    1785,,    1470,
"Mother tongue","          Turkish",,     290,,     155,,     130,,   32815,,   17375,,   15440,
"Mother tongue","          Uyghur",,       5,,       0,,       5,,    1035,,     510,,     525,
"Mother tongue","          Uzbek",,      30,,       5,,      15,,    1715,,     855,,     865,
"Mother tongue","          Turkic languages; n.i.e.",,      15,,      10,,      10,,    1315,,     590,,     720,
"Mother tongue","        Uralic languages",,    1555,,     735,,     820,,   81985,,   37790,,   44195,
"Mother tongue","          Estonian",,      20,,      10,,      10,,    5445,,    2325,,    3115,
"Mother tongue","          Finnish",,     205,,      85,,     120,,   15295,,    6395,,    8900,
"Mother tongue","          Hungarian",,    1330,,     650,,     685,,   61235,,   29060,,   32175,
"Mother tongue","          Uralic languages; n.i.e.",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","        Other languages; n.i.e.",,     100,,      55,,      45,,    3690,,    2045,,    1645,
"Mother tongue","  Multiple responses",,   18560,,    8955,,    9605,,  818635,,  398325,,  420305,
"Mother tongue","    English and French",,    2045,,     985,,    1060,,  165320,,   80460,,   84860,
"Mother tongue","    English and non-official language",,   15925,,    7675,,    8245,,  533265,,  259160,,  274100,
"Mother tongue","    French and non-official language",,     315,,     150,,     165,,   86150,,   42170,,   43985,
"Mother tongue","    English; French and non-official language",,     280,,     145,,     135,,   33900,,   16535,,   17365,
"Language spoken most often at home","Total - Language spoken most often at home for the total population excluding institutional residents - 100% data",19, 1083240,,  539100,,  544130,,34767250,,17101165,,17666085,
"Language spoken most often at home","  Single responses",, 1049130,,  522390,,  526740,,33103860,,16298475,,16805395,
"Language spoken most often at home","    Official languages",,  968625,,  481845,,  486780,,29106670,,14383020,,14723645,
"Language spoken most often at home","      English",,  964640,,  479915,,  484730,,22162865,,10966135,,11196730,
"Language spoken most often at home","      French",,    3985,,    1930,,    2050,, 6943800,, 3416890,, 3526910,
"Language spoken most often at home","    Non-official languages",,   80505,,   40540,,   39960,, 3997195,, 1915450,, 2081750,
"Language spoken most often at home","      Aboriginal languages",,   16605,,    8355,,    8245,,  118470,,   59720,,   58750,
"Language spoken most often at home","        Algonquian languages",,   10145,,    5185,,    4960,,   75080,,   37825,,   37260,
"Language spoken most often at home","          Blackfoot",,       0,,       0,,       0,,    1115,,     555,,     555,
"Language spoken most often at home","          Cree-Montagnais languages",,   10000,,    5105,,    4895,,   55825,,   28135,,   27685,
"Language spoken most often at home","            Atikamekw",,       0,,       0,,       0,,    5465,,    2825,,    2640,
"Language spoken most often at home","            Montagnais (Innu)",,       0,,       0,,       0,,    8590,,    4195,,    4395,
"Language spoken most often at home","            Moose Cree",,       0,,       0,,       0,,      10,,       5,,       5,
"Language spoken most often at home","            Naskapi",,       0,,       0,,       0,,    1200,,     595,,     605,
"Language spoken most often at home","            Northern East Cree",,       0,,       0,,       0,,     110,,      55,,      60,
"Language spoken most often at home","            Plains Cree",,    1195,,     580,,     610,,    1350,,     665,,     685,
"Language spoken most often at home","            Southern East Cree",,       0,,       0,,       0,,      20,,       5,,      15,
"Language spoken most often at home","            Swampy Cree",,      95,,      40,,      55,,     330,,     140,,     190,
"Language spoken most often at home","            Woods Cree",,     180,,     100,,      85,,     800,,     410,,     390,
"Language spoken most often at home","            Cree; n.o.s.",,    8525,,    4380,,    4145,,   37945,,   19240,,   18710,
"Language spoken most often at home","          Eastern Algonquian languages",,       0,,       0,,       0,,    3615,,    1795,,    1820,
"Language spoken most often at home","            Malecite",,       0,,       0,,       0,,      55,,      30,,      30,
"Language spoken most often at home","            Mi'kmaq",,       0,,       0,,       0,,    3560,,    1770,,    1795,
"Language spoken most often at home","          Ojibway-Potawatomi languages",,     140,,      75,,      65,,   14525,,    7335,,    7190,
"Language spoken most often at home","            Algonquin",,       0,,       0,,       0,,     370,,     170,,     200,
"Language spoken most often at home","            Ojibway",,     145,,      80,,      70,,    6175,,    3165,,    3015,
"Language spoken most often at home","            Oji-Cree",,       0,,       0,,       0,,    7900,,    3960,,    3940,
"Language spoken most often at home","            Ottawa (Odawa)",,       0,,       0,,       0,,      75,,      40,,      35,
"Language spoken most often at home","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,       5,,       5,,       5,
"Language spoken most often at home","        Athabaskan languages",,    6360,,    3130,,    3235,,   10265,,    5125,,    5135,
"Language spoken most often at home","          Northern Athabaskan languages",,    6365,,    3130,,    3230,,   10255,,    5120,,    5135,
"Language spoken most often at home","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,      15,,      10,,      10,
